2023-03-18 09:11:56 , udn , 韓國知名女團BLACKPINK今明兩天在高雄世運主場館舉行演唱會，掀起樂迷搶票秒殺作戰，交通局表示，世運大道自上午8時至... , https://udn.com/news/story/7266/7039908?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:12:17 , udn , 全英公開賽／女單F4會師4強 戴資穎強碰最火熱的安洗瑩 , https://udn.com/news/story/7005/7039907?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:12:27 , udn , 全英羽球公開賽今天上午在戴資穎以直落二擊敗中國大陸好手何冰嬌，以及前西班牙球后馬琳退賽後4強名單出爐，將由女單世界排名前... , https://udn.com/news/story/7005/7039907?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:14:44 , udn , 改裝車噪音擾民 三峽警今年已告發交違、改裝車486件 , https://udn.com/news/story/7320/7039911?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:14:55 , udn , 改裝車噪音擾人清夢，三峽警方聯合監理機關，於昨天晚上，在北大特區重要路口實施攔檢，短短兩個小時，共取締告發41件違規改裝... , https://udn.com/news/story/7320/7039911?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:15:15 , udn , 萬金杜鵑花展最後2天 12作品24日移展台北大安森林公園 , https://udn.com/news/story/7266/7039909?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:15:26 , udn , 新北市農業局「萬金杜鵑」花展由24位藝術家與萬金地區杜鵑花農們共同合作，使用農用車和漁船打造出具話題性和美感度兼具之「移... , https://udn.com/news/story/7266/7039909?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:17:46 , udn , 詐騙車手賣場置物櫃取件 警喬裝工讀生成功阻詐3件 , https://udn.com/news/story/7320/7039914?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:17:56 , udn , 高雄日前有民眾聽從詐騙集團指示，將提款卡及現金放在楠梓區某大賣場的置物櫃中遭竊用，楠梓分局本周二派員喬裝埋伏，成功逮獲3... , https://udn.com/news/story/7320/7039914?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:18:17 , udn , 國際刑事法院對普亭發逮捕令 俄稱無效美認合理 , https://udn.com/news/story/122663/7039910?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:18:27 , udn , 國際刑事法院今天對俄羅斯總統普亭發布逮捕令，克里姆林宮表示，此一決定在法律上「無效」，因為俄國不承認國際刑事法院管轄權；... , https://udn.com/news/story/122663/7039910?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:18:47 , udn , 高雄旅展搶搶滾  韓國4日遊推8800破盤價 , https://udn.com/news/story/7270/7039912?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:18:58 , udn , 疫情解封，國境開放，不少民眾開始規劃出國，正在高雄巨蛋舉辦的「2023 高雄巨蛋春季旅展」集結11家旅行社聯合行銷，號稱... , https://udn.com/news/story/7270/7039912?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:23:46 , udn , 北部及東部轉涼短暫雨 彭啟明：中南部近期仍無顯著降雨訊號 , https://udn.com/news/story/7266/7039917?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:23:57 , udn , 今天起東北季風影響，天氣風險公司天氣分析師林孝儒說，北部及東半部雲量多為陰沉天氣，氣溫略有轉涼也有些局部短暫陣雨，而背風... , https://udn.com/news/story/7266/7039917?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:24:17 , udn , 男性咬嘴唇時其實正在搜尋「獵物」！6面向特徵揭男生性能力 , https://udn.com/news/story/7272/7039904?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:24:27 , udn , 某些男生平時喜歡咬嘴唇、舐嘴唇，別以為他正思考重要的事，因這個動作其實反映，他正在搜尋「獵物」，蠢蠢欲動，「吃了你也不知道」。 , https://udn.com/news/story/7272/7039904?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:25:49 , udn , 高雄旅展搶搶滾 南韓4日遊推8800破盤價 , https://udn.com/news/story/7270/7039912?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:27:20 , udn , 別開車！韓女團BLACKPINK演唱會世運大道交通管制 搭這個最聰明 , https://udn.com/news/story/7266/7039908?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:32:46 , udn , 強勢回歸！臉書、YT宣布解封 川普興奮發文「我回來了」 , https://udn.com/news/story/6813/7039922?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:32:56 , udn , 美國前總統川普因被控煽動2021年1月6日國會暴動案，遭到臉書、推特等大型社群媒體集體封殺，如今臉書和YouTube於1... , https://udn.com/news/story/6813/7039922?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:33:17 , udn , 想讓眼睛「更大更放電」 她拔光下睫毛網嚇翻：怎麼保護眼睛 , https://udn.com/news/story/6810/7039504?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:33:27 , udn , 國外一名網紅為了想讓眼睛看起來再大一點，竟然把自己的下睫毛全都修掉，讓網友看了全都嚇壞。 , https://udn.com/news/story/6810/7039504?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:33:48 , udn , 迪卡儂個資外洩害遭詐57萬 律師會員卻要自負9成過失 , https://udn.com/news/story/7321/7039920?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:33:58 , udn , 知名運動用品店「迪卡儂」去年爆出會員個資遭外洩，1名任姓律師因此接到詐團電話，依指示匯了57萬元才知受害，連同精神撫慰金... , https://udn.com/news/story/7321/7039920?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:34:19 , udn , 送5000元給入境旅客 拚觀光靠撒錢 台灣好天真 , https://udn.com/news/story/6656/7039739?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:34:29 , udn , 疫後全球觀光市場大力攬客，交通部擬針對日韓、新南向、港澳、歐美四大主力市場的自由行旅客，分別規畫50萬份台幣5000元消費金，並以電子票證方式發放。納稅人送給外國人的5000元，是否真能挹注到觀光相關產業？抑或創造更多經濟消費？初步看來仍有不少疑惑。政策既定預計4月上路，是否能達成交通部設定的入境觀光客600萬人次目標？就等下半年檢討績效。 , https://udn.com/news/story/6656/7039739?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:34:49 , udn , 照片看歷史／1955年美報業鉅子霍華德訪華 蔣經國親自接機 , https://udn.com/news/story/7314/7038655?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:35:00 , udn , 1955年3月18日下午5時30分，美報業鉅子羅伊．霍華德（Roy W. Howard）夫婦自菲律賓馬尼拉飛抵台北，由時任中國青年反共救國團主任的蔣經國親自在松山機場接機，霍華德夫婦在台灣進行5天的訪問。 , https://udn.com/news/story/7314/7038655?from=udn-ch1_breaknews-1-0-news
2023-03-18 09:35:20 , udn , 白領都要失業？微軟宣布將AI融入Office，Copilot最強功能在哪？ , https://udn.com/news/story/123313/7038560?from=udn-ch1_breaknews-1-0-news
